_id,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
69ca8ebf82d567a0f78eb2fe,EZYV01,Asia,High School,N,N,14513,2007,West,592.2029,Hour,Y,Denied
69ca8ebf82d567a0f78eb2ff,EZYV02,Asia,Master's,Y,N,2412,2002,Northeast,83425.65,Year,Y,Certified
69ca8ebf82d567a0f78eb300,EZYV03,Asia,Bachelor's,N,Y,44444,2008,West,122996.86,Year,Y,Denied
69ca8ebf82d567a0f78eb301,EZYV04,Asia,Bachelor's,N,N,98,1897,West,83434.03,Year,Y,Denied
69ca8ebf82d567a0f78eb302,EZYV05,Africa,Master's,Y,N,1082,2005,South,149907.39,Year,Y,Certified
69ca8ebf82d567a0f78eb303,EZYV06,Asia,Master's,Y,N,2339,2012,South,78252.14,Year,Y,Certified
69ca8ebf82d567a0f78eb304,EZYV07,Asia,Bachelor's,N,N,4985,1994,South,53635.39,Year,Y,Certified
69ca8ebf82d567a0f78eb305,EZYV08,North America,Bachelor's,Y,N,3035,1924,West,418.2298,Hour,Y,Denied
69ca8ebf82d567a0f78eb306,EZYV09,Asia,Bachelor's,N,N,4810,2012,Midwest,74362.19,Year,Y,Certified
69ca8ebf82d567a0f78eb307,EZYV10,Europe,Doctorate,Y,N,2251,1995,South,67514.76,Year,Y,Certified
69ca8ebf82d567a0f78eb308,EZYV11,Asia,Master's,N,N,2465,2004,Midwest,83588.56,Year,Y,Certified
69ca8ebf82d567a0f78eb309,EZYV12,Asia,High School,Y,N,4069,2005,Northeast,70813.09,Year,Y,Denied
69ca8ebf82d567a0f78eb30a,EZYV13,Asia,Bachelor's,Y,N,123876,1963,Northeast,28663.05,Year,Y,Certified
69ca8ebf82d567a0f78eb30b,EZYV14,Asia,Bachelor's,Y,N,1652,2007,Midwest,107196.03,Year,Y,Certified
69ca8ebf82d567a0f78eb30c,EZYV15,Asia,Master's,Y,Y,15756,2006,South,220081.73,Year,Y,Certified
69ca8ebf82d567a0f78eb30d,EZYV16,Asia,High School,Y,N,4897,1987,West,74108.02,Year,Y,Denied
69ca8ebf82d567a0f78eb30e,EZYV17,Europe,Master's,Y,N,76638,1991,Midwest,3706.79,Year,Y,Certified
69ca8ebf82d567a0f78eb30f,EZYV18,Asia,Master's,Y,N,2747,2001,West,16132.61,Year,Y,Certified
69ca8ebf82d567a0f78eb310,EZYV19,Africa,Master's,Y,N,4743,2004,Midwest,150441.13,Year,Y,Certified
69ca8ebf82d567a0f78eb311,EZYV20,Asia,Doctorate,N,N,843,1972,Midwest,79948.12,Year,Y,Certified
69ca8ebf82d567a0f78eb312,EZYV21,Asia,Master's,N,N,880,2008,West,71128.98,Year,Y,Denied
69ca8ebf82d567a0f78eb313,EZYV22,North America,Master's,Y,N,1706,2013,Midwest,137694.98,Year,N,Certified
69ca8ebf82d567a0f78eb314,EZYV23,Asia,Master's,Y,N,2878,1968,West,45642.39,Year,Y,Certified
69ca8ebf82d567a0f78eb315,EZYV24,North America,High School,N,N,1517,1884,Midwest,90108.38,Year,N,Certified
69ca8ebf82d567a0f78eb316,EZYV25,Europe,Doctorate,Y,N,241,1981,Midwest,71286.04,Year,Y,Certified
69ca8ebf82d567a0f78eb317,EZYV26,North America,Master's,N,N,1100,1997,Midwest,99489.65,Year,Y,Certified
69ca8ebf82d567a0f78eb318,EZYV27,Asia,Bachelor's,Y,N,756,1995,South,86332.95,Year,Y,Certified
69ca8ebf82d567a0f78eb319,EZYV28,Asia,High School,Y,Y,2889,2005,South,103029.33,Year,Y,Certified
69ca8ebf82d567a0f78eb31a,EZYV29,Asia,Master's,Y,N,18,2004,Northeast,40925.86,Year,Y,Certified
